; CSV, generated by atk_libsigrok4 1.0.0 on 2026-07-31 11:04:28
; Channels (5/16)
; ChannelsType: 31
; Sample rate: 20 MHz
; Sample count: 9.536743 M
; Sampling time: 2026-07-31 10:59:07.619
SystemTime, Time(s), STV_mode, oepsn, ud, cpv, chip_sel
'2026-07-31 10:59:07.692229350,0.005229350,0,0,0,0,1
'2026-07-31 10:59:07.692232350,0.005232350,0,0,0,1,0
'2026-07-31 10:59:07.692379350,0.005379350,0,0,0,0,1
'2026-07-31 10:59:07.692382350,0.005382350,0,0,0,1,0
'2026-07-31 10:59:07.692529350,0.005529350,0,0,0,0,1
'2026-07-31 10:59:07.692532350,0.005532350,0,0,0,1,0
'2026-07-31 10:59:07.692679350,0.005679350,0,0,0,0,1
'2026-07-31 10:59:07.692682350,0.005682350,0,0,0,1,0
'2026-07-31 10:59:07.692829350,0.005829350,0,0,0,0,1
'2026-07-31 10:59:07.692832350,0.005832350,0,0,0,1,0
'2026-07-31 10:59:07.692979350,0.005979350,0,0,0,0,1
'2026-07-31 10:59:07.692982350,0.005982350,0,0,0,1,0
'2026-07-31 10:59:07.693129350,0.006129350,0,0,0,0,1
'2026-07-31 10:59:07.693132350,0.006132350,0,0,0,1,0
'2026-07-31 10:59:07.693279350,0.006279350,0,0,0,0,1
'2026-07-31 10:59:07.693282350,0.006282350,0,0,0,1,0
'2026-07-31 10:59:07.693429350,0.006429350,0,0,0,0,1
'2026-07-31 10:59:07.693432350,0.006432350,0,0,0,1,0
'2026-07-31 10:59:07.693579350,0.006579350,0,0,0,0,1
'2026-07-31 10:59:07.693582350,0.006582350,0,0,0,1,0
'2026-07-31 10:59:07.693729350,0.006729350,0,0,0,0,1
'2026-07-31 10:59:07.693732350,0.006732350,0,0,0,1,0
'2026-07-31 10:59:07.693879350,0.006879350,0,0,0,0,1
'2026-07-31 10:59:07.693882350,0.006882350,0,0,0,1,0
'2026-07-31 10:59:07.694029350,0.007029350,0,0,0,0,1
'2026-07-31 10:59:07.694032350,0.007032350,0,0,0,1,0
'2026-07-31 10:59:07.694179350,0.007179350,0,0,0,0,1
'2026-07-31 10:59:07.694182350,0.007182350,0,0,0,1,0
'2026-07-31 10:59:07.694329350,0.007329350,0,0,0,0,1
'2026-07-31 10:59:07.694332350,0.007332350,0,0,0,1,0
'2026-07-31 10:59:07.694479350,0.007479350,0,0,0,0,1
'2026-07-31 10:59:07.694482350,0.007482350,0,0,0,1,0
